variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged,train_size
phi2_w64,2,16,-42.99887747427449,,,,2.56186753988266,202.23,202.23,1.0,4
phi2_w64,2,32,-19.622141365618447,,,,2.8315250754356383,122.4,122.4,1.0,4
phi2_w64,2,50,-8.973875720053911,,,,2.8829369235038755,66.33,66.33,1.0,4
phi2_w64,2,100,-2.3261996598308907,,,,2.851396996974945,22.58,22.58,1.0,4
phi2_w64,3,4,-124.90836122769862,,,,2.6218282842636107,300.85,300.85,1.0,4
phi2_w64,3,8,-67.12960162470117,,,,3.0724330830574034,218.77777777777777,226.83,0.99,4
phi2_w64,3,16,-53.35025869781151,,,,2.702995572090149,235.07,235.07,1.0,4
phi2_w64,3,32,-55.525726610161364,,,,3.2636907720565795,245.72164948453607,269.07,0.97,4
phi2_w64,3,50,-40.09813487403095,,,,3.189545226097107,206.33673469387756,222.69,0.98,4
phi2_w64,3,100,-7.760045525599271,,,,2.947207662794325,58.87,58.87,1.0,4
phi2_w64,4,4,-482.5893986616656,,,,22.078464450836183,,1024.0,0.0,4
phi2_w64,4,8,-303.860389375519,,,,14.703276972770691,424.125,976.01,0.08,4
phi2_w64,4,16,-105.78900748847053,,,,4.3975798344612125,383.45882352941175,479.54,0.85,4
phi2_w64,4,32,-17.76841614623554,,,,3.055108218193054,105.84,105.84,1.0,4
phi2_w64,4,50,-8.229770448720082,,,,3.064876058101654,59.62,59.62,1.0,4
phi2_w64,4,100,-2.3192162882909177,,,,2.9687123468944003,22.39,22.39,1.0,4
phi2_w64,5,4,-203.75772287812083,,,,4.2576589059829715,,1024.0,0.0,4
phi2_w64,5,8,-278.8171103058569,,,,10.365445766448975,520.1363636363636,913.15,0.22,4
phi2_w64,5,16,-152.29643071742728,,,,5.387411694526673,458.327868852459,678.94,0.61,4
phi2_w64,5,32,-24.032540286378936,,,,3.025250232219696,136.53,136.53,1.0,4
phi2_w64,5,50,-9.84747982219793,,,,3.087413640022278,68.72,68.72,1.0,4
phi2_w64,5,100,-3.0709839212987573,,,,2.836621994972229,27.3,27.3,1.0,4
phi4_w128,1,4,-268.18718357898297,,,,7.755097827911377,,1024.0,0.0,4
phi4_w128,1,8,-323.7620001088269,,,,13.987291123867035,645.6,948.32,0.2,4
phi4_w128,1,16,-103.20998758725823,,,,4.010865352153778,368.01063829787233,407.37,0.94,4
phi4_w128,1,32,-27.862168485382572,,,,3.0371822810173033,144.74,144.74,1.0,4
phi4_w128,1,50,-11.205646067550406,,,,2.9414468884468077,73.73,73.73,1.0,4
phi4_w128,1,100,-2.99581920706667,,,,2.9664554309844973,27.43,27.43,1.0,4
phi4_w128,2,4,-173.7399827987887,,,,5.073087816238403,799.3157894736842,981.31,0.19,4
phi4_w128,2,8,-285.5018751319125,,,,12.691277923583984,,1024.0,0.0,4
phi4_w128,2,16,-351.89935085751114,,,,17.24631706237793,,1024.0,0.0,4
phi4_w128,2,32,-362.7049975100532,,,,18.619736514091493,192.0,1015.68,0.01,4
phi4_w128,2,50,-312.31914302902294,,,,16.88671642780304,57.5,888.69,0.14,4
phi4_w128,2,100,-95.50099161235616,,,,7.0123819160461425,54.527027027027025,306.59,0.74,4
phi4_w128,3,4,-261.6696261975542,,,,9.58532105922699,,1024.0,0.0,4
phi4_w128,3,8,-285.775092548877,,,,11.733009078502654,504.4516129032258,862.94,0.31,4
phi4_w128,3,16,-73.00895084143616,,,,3.396407504081726,281.59375,311.29,0.96,4
phi4_w128,3,32,-17.464046439062805,,,,3.058947501182556,102.0,102.0,1.0,4
